bruce,21,38
lee,34,62
the,10190,18507
legend,45,65
-,786,1497
baaaaaad,0,1
stylish,24,30
yet,83,172
uneven,8,23
film,1802,3005
at,714,1277
an,1090,1742
affordable,6,6
price.,6,9
masterful,25,29
and,3267,5730
commanding,1,1
great,2671,3335
special,119,277
effects!!,1,1
disappointed,6,123
with,1127,2000
ending,53,127
though.,3,6
bevare!,2,3
dracula,28,45
is,2351,4830
suspect,2,3
here!,25,38
"wishy,1,1
washy,2,2
beginning,47,77
a,7980,14457
delicious,15,17
that,677,1403
defies,3,3
classification,1,1
old,206,343
grey,5,6
gere,2,3
ain't,27,85
what,562,1771
he,78,149
used,18,44
to,2429,5198
be!!!,0,1
unsatisfying,1,13
sequel,135,312
"""what,10,14
wonderful,358,396
day,140,210
for,1956,3945
exorcism....""",1,1
simply,106,171
elegant,9,9
unintentionally,2,9
hilarious,114,126
one,1767,2884
of,6092,10464
films,321,482
1999,4,15
this,2042,5399
short,54,132
version,230,451
film!,161,220
summer,22,40
monkeys,3,5
rangers,1,3
lead,13,28
way,184,389
definately,11,18
5,176,285
star,216,593
film!!!,14,17
flick!,33,39
herbie,4,5
i,1355,3511
don't,288,1050
believe....,1,1
town,27,35
rising,10,13
from,588,1087
ashes,2,3
tragedy,27,43
show,270,409
was,419,1264
ahead,20,29
its,328,592
time,493,1015
perfect,235,278
quick,20,29
pick,14,18
me,329,767
up,264,559
cool,98,129
spider,15,21
movie,3019,5913
best,2210,2547
lethal,4,9
weapon,3,6
by,311,645
far!,6,10
stripped-live,1,1
in,1853,3401
uk,5,9
(stripped,1,1
tour,32,37
2003),1,1
(2003),1,4
"how,8,25
depressing,13,62
halloween,33,79
series,343,556
went,14,49
brilliant,189,205
average/mediocre,0,1
just,411,1065
'you,2,2
could,172,575
fall,27,65
love,768,980
orangutan,1,1
that...',1,1
"i,80,225
scream,20,39
my,801,1331
praises,1,1
monsters,14,21
artistic,23,29
masterpiece,291,329
"seminal,1,1
""film,1,3
noir,109,136
it's,474,968
man,210,318
appeal,6,19
goodness,11,19
sake!,1,3
perfectly,12,18
fine,136,169
until,20,50
next,34,68
absolutely,118,216
movie!!!!,10,16
gilliam...,1,1
"""ah,1,2
better,626,1137
than,616,1087
even,124,423
remember,57,102
mother/daughter,1,1
dynamic,7,8
explored,1,1
pleasant,39,44
